#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
18.6%	9300	18.60000000000057	-977.9347161293057	322.7230529785156	-655.2116631507901	100.2962832255931	131	12.159178972244263	0:53
18.7%	9350	18.700000000000514	-968.7071160316494	325.031494140625	-643.6756218910244	101.0137035228656	131	12.224955797195435	0:53
18.8%	9400	18.80000000000046	-980.9696892738369	339.1397705078125	-641.8299187660244	105.39829169928751	131	12.29128646850586	0:53
18.9%	9450	18.900000000000404	-993.7312859535244	313.28680419921875	-680.4444817543057	97.3636737593009	131	12.35688853263855	0:53
19.0%	9500	19.000000000000348	-986.5076531410244	341.208740234375	-645.2989129066494	106.04128875749366	131	12.423270225524902	0:53
19.1%	9550	19.100000000000293	-1002.3188103675869	306.98394775390625	-695.3348626136807	95.40486397073768	131	12.4895179271698	0:53
19.2%	9600	19.200000000000237	-1006.8575066566494	335.9682922363281	-670.8892144203213	104.41265562518348	131	12.555194616317749	0:53
19.3%	9650	19.300000000000182	-999.1581048011807	311.4170837402344	-687.7410210609463	96.78259964334839	131	12.621349811553955	0:53
19.4%	9700	19.400000000000126	-989.3796013832119	310.7496643066406	-678.6299370765713	96.57517817802642	131	12.68722677230835	0:52
19.5%	9750	19.50000000000007	-994.0124749183682	358.03814697265625	-635.9743279457119	111.27155331146008	131	12.753186225891113	0:52
19.6%	9800	19.600000000000016	-999.3943718910244	316.5939636230469	-682.8004082679776	98.39147699549095	131	12.819136142730713	0:52
19.7%	9850	19.69999999999996	-1007.2725457191494	325.0641174316406	-682.2084282875088	101.02384223097852	131	12.884816408157349	0:52
19.8%	9900	19.799999999999905	-1007.5771721839932	332.3468017578125	-675.2303704261807	103.28716418173158	131	12.95067048072815	0:52
19.9%	9950	19.89999999999985	-1006.0235222816494	323.2484436035156	-682.7750786781338	100.45956479609987	131	13.016352891921997	0:52
20.0%	10000	19.999999999999794	-1001.6243523597744	306.9766540527344	-694.6476983070401	95.40259722495753	131	13.081953048706055	0:52
20.1%	10050	20.09999999999974	-1012.3244256019619	325.2911376953125	-687.0332879066494	101.09439587892228	131	13.148020029067993	0:52
20.2%	10100	20.199999999999683	-1008.7754754066494	322.8276062011719	-685.9478692054776	100.32877640987262	131	13.214031219482422	0:52
20.3%	10150	20.299999999999628	-1012.2851799964932	318.0810546875	-694.2041253089932	98.85363705875909	131	13.28322148323059	0:52
20.4%	10200	20.399999999999572	-1014.2948845863369	331.4173278808594	-682.8775567054776	102.99830110128754	131	13.349435567855835	0:52
20.5%	10250	20.499999999999517	-1002.4189080238369	322.3741760253906	-680.0447319984463	100.18785879982443	131	13.416044473648071	0:52
