#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
10.8%	5400	10.800000000000276	-996.5790032386807	290.6268615722656	-705.9521416664151	90.32138780354711	131	7.046079635620117	0:58
10.9%	5450	10.90000000000031	-991.5118645668057	336.0195617675781	-655.4923027992276	104.42858923568834	131	7.111657381057739	0:58
11.0%	5500	11.000000000000343	-1000.8434685707119	299.08154296875	-701.7619256019619	92.94894450300733	131	7.178014516830444	0:58
11.1%	5550	11.100000000000376	-1007.8909539222744	327.5162353515625	-680.3747185707119	101.78591457483245	131	7.245420217514038	0:58
11.2%	5600	11.20000000000041	-1006.7077263832119	328.064453125	-678.6432732582119	101.95629039573066	131	7.311478614807129	0:58
11.3%	5650	11.300000000000443	-997.6059197425869	316.9134826660156	-680.6924370765713	98.4907775323872	131	7.377404689788818	0:58
11.4%	5700	11.400000000000476	-1009.8667840003994	316.2750549316406	-693.5917290687588	98.29236614443406	131	7.442207336425781	0:58
11.5%	5750	11.50000000000051	-1032.767113590243	347.36932373046875	-685.3977898597743	107.95588277690591	131	7.50490403175354	0:58
11.6%	5800	11.600000000000543	-1037.3153313636806	302.18701171875	-735.1283196449306	93.91406605358637	131	7.57091212272644	0:58
11.7%	5850	11.700000000000577	-1041.7383660316493	329.5398864746094	-712.19847955704	102.41482745946735	131	7.636677026748657	0:58
11.8%	5900	11.80000000000061	-1020.8938836097744	317.3355407714844	-703.5583428382901	98.62194529029314	131	7.702220678329468	0:58
11.9%	5950	11.900000000000643	-1011.1122063636807	319.06805419921875	-692.0441521644619	99.16037802956126	131	7.768242359161377	0:57
12.0%	6000	12.000000000000677	-1024.9829949378993	316.4192199707031	-708.5637749671962	98.33716993968694	131	7.833858489990234	0:57
12.1%	6050	12.10000000000071	-1017.6237420082119	306.9361877441406	-710.6875542640713	95.39002105380906	131	7.899964332580566	0:57
12.2%	6100	12.200000000000744	-1028.9323357582118	354.96905517578125	-673.9632805824306	110.31773703690591	131	7.965801000595093	0:57
12.3%	6150	12.300000000000777	-1017.2267693519619	304.6422424316406	-712.5845269203213	94.67710579522097	131	8.031708002090454	0:57
12.4%	6200	12.40000000000081	-1023.7536858558682	327.4767150878906	-696.2769707679776	101.77363241673497	131	8.097422122955322	0:57
12.5%	6250	12.500000000000844	-1023.1332024574307	319.86383056640625	-703.2693718910244	99.40769042689713	131	8.161943912506104	0:57
12.6%	6300	12.600000000000877	-1001.3717278480557	314.1971130371094	-687.1746148109463	97.64658070438955	131	8.225970983505249	0:57
12.7%	6350	12.70000000000091	-996.6159905433682	334.0201721191406	-662.5958184242276	103.80721636316733	131	8.28883147239685	0:57
12.8%	6400	12.800000000000944	-1003.8302849769619	321.4430236816406	-682.3872612953213	99.8984740833222	131	8.352000951766968	0:57
12.9%	6450	12.900000000000977	-993.4820183753994	318.3641052246094	-675.1179131507901	98.94160386675458	131	8.41644835472107	0:57
13.0%	6500	13.00000000000101	-989.9314812660244	346.34490966796875	-643.5865715980557	107.63751406415201	131	8.479260921478271	0:57
13.1%	6550	13.100000000001044	-980.5270623207119	311.0899353027344	-669.4371270179776	96.68092803346033	131	8.545127630233765	0:57
13.2%	6600	13.200000000001078	-980.4937371253994	325.4042053222656	-655.0895318031338	101.12953518066064	131	8.61086130142212	0:57
13.3%	6650	13.300000000001111	-992.5735711097744	297.9766845703125	-694.5968865394619	92.60557519662797	131	8.676917791366577	0:56
13.4%	6700	13.400000000001144	-1005.9195183753994	332.63433837890625	-673.2851799964932	103.37652518064624	131	8.742419481277466	0:56
13.5%	6750	13.500000000001178	-995.2760857582119	315.0669860839844	-680.2090996742276	97.91692096262172	131	8.80818247795105	0:56
13.6%	6800	13.600000000001211	-974.1021355628994	326.83477783203125	-647.2673577308682	101.57413033520558	131	8.874046087265015	0:56
13.7%	6850	13.700000000001245	-982.2836541175869	314.7804870605469	-667.5031670570401	97.82788242963395	131	8.9398033618927	0:56
13.8%	6900	13.800000000001278	-989.1562127113369	322.3453674316406	-666.8108452796963	100.17890562820743	131	9.005788803100586	0:56
13.9%	6950	13.900000000001311	-992.6974724769619	310.2259521484375	-682.4715203285244	96.41241824357785	131	9.071399450302124	0:56
14.0%	7000	14.000000000001345	-989.5899895668057	333.8895263671875	-655.7004631996182	103.76661410925588	131	9.137651443481445	0:56
14.1%	7050	14.100000000001378	-975.2316521644619	275.5886535644531	-699.6429986000088	85.64779428230166	131	9.201761722564697	0:56
14.2%	7100	14.200000000001411	-996.9150017738369	337.2742614746094	-659.6407402992276	104.81852641562648	131	9.267377376556396	0:56
14.3%	7150	14.300000000001445	-992.6650017738369	306.1783142089844	-686.4866875648526	95.1544881470964	131	9.331327676773071	0:56
14.4%	7200	14.400000000001478	-974.4728020668057	320.2165222167969	-654.2562798500088	99.5173003891617	131	9.395870685577393	0:56
14.5%	7250	14.500000000001512	-992.1537713050869	331.44903564453125	-660.7047356605557	103.00815528064143	131	9.461556434631348	0:56
14.6%	7300	14.600000000001545	-1011.3348626136807	303.748291015625	-707.5865715980557	94.3992824306267	131	9.527292966842651	0:56
14.7%	7350	14.700000000001578	-991.4496697425869	337.7963562011719	-653.6533135414151	104.9807836826008	131	9.59309720993042	0:56
14.8%	7400	14.800000000001612	-991.5606316566494	298.39105224609375	-693.1695794105557	92.73435291295819	131	9.65877103805542	0:55
